 RFM MSE = 0.855746
 RFM RMSE = 0.925065
 RFM R Squared = 0.354356
 RFM MAE = 0.739490
 RFM Explained Variance = 0.345343
prediction: 7.004325105062653 	 actual rating: 7.1
prediction: 7.436751337917506 	 actual rating: 7.1
prediction: 6.170362413010016 	 actual rating: 6.3
prediction: 6.576386423674371 	 actual rating: 7.4
prediction: 6.697637871973542 	 actual rating: 5.8
prediction: 6.977039018756744 	 actual rating: 6.8
prediction: 6.810191739601497 	 actual rating: 7.7
prediction: 7.082109896979018 	 actual rating: 6.9
prediction: 6.301092406444505 	 actual rating: 6.3
prediction: 7.14784097055316 	 actual rating: 4.5
prediction: 7.282046135574237 	 actual rating: 5.7
prediction: 6.9127692087532635 	 actual rating: 5.9
prediction: 7.2417022924593 	 actual rating: 7.3
prediction: 7.139895702584564 	 actual rating: 7.2
prediction: 6.538845125608471 	 actual rating: 7.2
prediction: 7.120517242972126 	 actual rating: 7.2
