IS MSE = 0.986601
 IS RMSE = 0.993278
 IS R Squared = 0.255628
 IS MAE = 0.801387
 IS Explained Variance = 0.377071
prediction: 7.4 	 actual rating: 7.1
prediction: 5.815000000000007 	 actual rating: 6.3
prediction: 6.415625000000022 	 actual rating: 7.4
prediction: 6.415625000000022 	 actual rating: 5.8
prediction: 7.162790697674435 	 actual rating: 6.8
prediction: 7.356934306569219 	 actual rating: 7.7
prediction: 6.991666666666587 	 actual rating: 6.9
prediction: 5.815000000000007 	 actual rating: 6.3
prediction: 7.164285714285652 	 actual rating: 4.5
prediction: 7.163366336633438 	 actual rating: 5.7
prediction: 6.897999999999977 	 actual rating: 5.9
prediction: 7.163366336633438 	 actual rating: 7.3
prediction: 7.018749999999994 	 actual rating: 7.2
prediction: 6.415625000000022 	 actual rating: 7.2
prediction: 6.815254237288223 	 actual rating: 7.2
